,start_station_id,start_station_latitude,start_station_longitude,tripduration,tmp,CensusTract,County_x,Borough,TotalPop,Men,Women,Hispanic,White,Black,Native,Asian,Citizen,Income,IncomeErr,IncomePerCap,IncomePerCapErr,Poverty,ChildPoverty,Professional,Service,Office,Construction,Production,Drive,Carpool,Transit,Walk,OtherTransp,WorkAtHome,MeanCommute,Employed,PrivateWork,PublicWork,SelfEmployed,FamilyWork,Unemployment,Latitude,Longitude,BlockCode,County_y,State,BlockCode_11,borough_distance,distance_rank
4104017,496,40.73726186,-73.99238967,4843,tmp,36061005200,New York,Manhattan,3726,1827,1899,5.6,70.5,2.7,0.3,16.6,2940,168375.0,33442.0,104742.0,18715.0,11.9,16.9,69.0,2.7,27.9,0.0,0.5,4.0,0.5,48.4,24.2,9.4,13.5,21.0,1996,79.6,3.8,16.2,0.4,5.6,40.7377889447,-73.9919095477,360610052002003,New York,NY,36061005200,0.07123599593467086,1.0
4122070,497,40.73704984,-73.99009296,9329,tmp,36061005200,New York,Manhattan,3726,1827,1899,5.6,70.5,2.7,0.3,16.6,2940,168375.0,33442.0,104742.0,18715.0,11.9,16.9,69.0,2.7,27.9,0.0,0.5,4.0,0.5,48.4,24.2,9.4,13.5,21.0,1996,79.6,3.8,16.2,0.4,5.6,40.7377889447,-73.98874371859999,360610052001002,New York,NY,36061005200,0.14031885931253218,1.0
4140516,499,40.76915505,-73.98191841,8623,tmp,36061014500,New York,Manhattan,5195,2450,2745,8.4,72.9,3.6,0.0,12.3,3733,161685.0,29461.0,141678.0,22522.0,4.4,0.0,78.7,2.4,17.0,0.0,1.9,3.3,1.3,50.9,28.9,4.9,10.7,25.4,2807,88.5,6.8,4.2,0.6,4.7,40.7694472362,-73.98241206029999,360610145003002,New York,NY,36061014500,0.05277814847215539,1.0
4158469,500,40.76228826,-73.98336183,2924,tmp,36061013100,New York,Manhattan,2775,1453,1322,17.9,59.9,4.1,0.0,16.0,2138,85195.0,13257.0,88608.0,16365.0,20.0,0.0,70.2,6.2,21.4,0.5,1.7,3.3,0.7,44.4,42.8,4.4,4.3,27.5,1669,90.2,4.0,5.8,0.0,4.4,40.7626633166,-73.98241206029999,360610131002005,New York,NY,36061013100,0.09023825470588079,1.0
4176348,501,40.744219,-73.97121214,5650,tmp,36061008601,New York,Manhattan,2807,1512,1295,5.5,69.9,1.4,0.0,22.5,2116,142299.0,29049.0,89385.0,13130.0,5.6,0.0,70.1,3.2,21.0,1.9,3.8,6.4,2.5,35.4,40.6,9.9,5.2,24.6,2019,86.9,9.5,3.6,0.0,3.6,40.7445728643,-73.9697487437,360610086010003,New York,NY,36061008601,0.12945071717870332,1.0
4194135,502,40.714215,-73.981346,2846,tmp,36061001200,New York,Manhattan,3755,1907,1848,29.3,41.7,2.9,0.0,23.7,2808,41705.0,19643.0,38772.0,5397.0,17.6,6.9,54.7,18.7,20.8,1.9,3.9,6.1,1.8,54.6,26.7,8.2,2.6,30.7,1709,75.5,14.6,9.8,0.0,5.5,40.7151758794,-73.98241206029999,360610012002005,New York,NY,36061001200,0.13964619107758303,1.0
4212330,503,40.73827428,-73.98751968,4169,tmp,36061005200,New York,Manhattan,3726,1827,1899,5.6,70.5,2.7,0.3,16.6,2940,168375.0,33442.0,104742.0,18715.0,11.9,16.9,69.0,2.7,27.9,0.0,0.5,4.0,0.5,48.4,24.2,9.4,13.5,21.0,1996,79.6,3.8,16.2,0.4,5.6,40.7377889447,-73.98874371859999,360610052001002,New York,NY,36061005200,0.11643188943911198,1.0
4230374,504,40.73221853,-73.98165557,6403,tmp,36061004800,New York,Manhattan,7325,2970,4355,6.5,65.9,5.7,0.3,16.9,5739,106789.0,14554.0,83549.0,19047.0,9.3,0.0,69.7,11.0,17.1,1.6,0.5,4.2,0.0,52.3,25.1,8.3,10.1,23.9,4325,88.1,5.5,6.4,0.0,7.3,40.7332663317,-73.98241206029999,360610048005000,New York,NY,36061004800,0.13284827061898394,1.0
4248638,505,40.74901271,-73.98848395,7283,tmp,36061010100,New York,Manhattan,1259,758,501,5.8,52.3,4.7,0.0,34.6,802,159821.0,16784.0,118772.0,18873.0,11.4,0.0,74.2,6.0,17.0,1.1,1.7,4.2,1.1,41.1,38.3,7.4,7.9,23.6,932,90.7,3.6,5.7,0.0,5.7,40.7490954774,-73.98874371859999,360610101001008,New York,NY,36061010100,0.023746586361704073,1.0
4266536,507,40.73912601,-73.97973776,4747,tmp,36061006600,New York,Manhattan,11252,5588,5664,28.6,52.8,3.5,0.0,13.6,9125,64963.0,21427.0,58239.0,7203.0,14.7,5.4,68.2,13.6,12.7,0.0,5.5,7.8,2.0,49.3,31.0,2.6,7.2,27.8,7137,81.6,9.9,8.4,0.0,3.3,40.7400502513,-73.9792462312,360610066008002,New York,NY,36061006600,0.11083544160001733,1.0
4284818,508,40.76341379,-73.99667444,3799,tmp,36061012900,New York,Manhattan,5755,3630,2125,15.0,56.0,5.1,0.0,20.1,4220,111290.0,20087.0,89203.0,13699.0,12.5,3.0,67.6,11.1,18.8,1.6,0.9,5.7,0.0,48.2,33.0,10.1,3.0,28.5,4033,92.0,4.2,3.8,0.0,7.4,40.7626633166,-73.998241206,360610129002003,New York,NY,36061012900,0.1561761000804522,1.0
4302919,513,40.768254,-73.988639,2291,tmp,36061013900,New York,Manhattan,8252,3914,4338,9.9,67.3,5.6,0.0,11.5,6910,91952.0,22692.0,84873.0,14895.0,7.3,0.0,72.0,5.9,18.0,0.0,4.1,2.2,1.0,56.2,28.0,2.1,10.4,30.0,5981,91.2,2.2,6.6,0.0,5.7,40.767185929600004,-73.98874371859999,360610139003001,New York,NY,36061013900,0.11912836937878726,1.0
